Period Name,Position,Total Duration,Total Distance,Meterage Per Minute,HSD,VHSD,VHSD Relative,Sprint Distance,Velocity B7+ Total # Efforts (Gen 2) (Set 2),Maximum Velocity,Acceleration B2-3 Total Efforts (Gen 2),Deceleration B2-3 Total Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Deceleration B3 Distance (Gen 2),Max Acceleration,Max Deceleration,Acceleration Density,Total Acceleration Load,Running Imbalance,Total IMA,RHIE Total Bouts,Meta Energy (KJ/kg),HSD Per Minute,VHSD Per Minute,Sprint Distance Per Minute,RHIE Bouts Per Minute,Meta Energy (kj/kg) Per Minute,HI Accels Per Minute,VHI Accels Per Minute
Transition Game 1.1,Edges,0 days 00:07:15,765.49994,105.58377,38.12,8.3825,10.4125,0,0,7.1240175,4,3.25,0.25,0.37,3.61109,-4.6063025,0.552645,240.40552,4.64772,3.25,3,3.834585,0.08763,0.01927,0,0.0068975,0.0021075,0.009195,0.000575
Transition Game 1.1,Middles,0 days 00:07:15,716.0095917,98.75767333,6.653333333,0,0,0,0,5.893905,4.333333333,4.333333333,0.166666667,0.175,3.698126667,-3.806553333,0.53672,233.4785833,-2.516378333,6.166666667,3,3.55462,0.015293333,0,0,0.0069,0.001951667,0.009961667,0.000383333
Transition Game 1.1,Outside Backs,0 days 00:07:15,704.3631613,97.1513075,40.58125,14.00875,11.845,0,0,7.0014175,2,3.5,0.125,0.7975,3.37624875,-4.34597,0.47725125,207.60962,2.08072375,4.75,2.375,3.47508625,0.0932875,0.03220375,0,0.0054625,0.00191,0.0045975,0.0002875
Transition Game 1.1,Service,0 days 00:06:56.285714285,738.4967314,106.1500957,25.76571429,2.474285714,4.232857143,0,0,6.716255714,2.571428571,4.571428571,0.428571429,0.358571429,3.653207143,-4.432204286,0.5555,231.6966414,1.58514,4.571428571,3,3.690014286,0.059228571,0.005688571,0,0.007041429,0.002111429,0.006477143,0.001127143
Transition Game 1.1,Unknown,0 days 00:07:15,725.66516,100.08945,8.32,0,0,0,0,6.53112,3,2,0,0.73,3.15687,-5.38751,0.53476,232.62688,7.03398,5,2,3.52327,0.01913,0,0,0.0046,0.00194,0.0069,0
Transition Game 1.2,Edges,0 days 00:07:12,702.660185,97.481125,24.4725,4.0875,8.9325,0,0,6.72154,3,4,0.5,0.4475,3.70826,-4.645605,0.51731,223.731585,1.65566,8,3,3.5029425,0.056585,0.0094525,0,0.0069375,0.001935,0.0069375,0.001155
Transition Game 1.2,Middles,0 days 00:07:12,669.94751,92.94284333,5.11,0,0,0,0,5.68604,4.333333333,5,0.166666667,0.181666667,3.52525,-4.064296667,0.51032,220.70902,-2.086013333,5.166666667,2.666666667,3.318801667,0.011815,0,0,0.006166667,0.001835,0.010018333,0.000385
Transition Game 1.2,Outside Backs,0 days 00:06:43.375000,630.9050525,94.0325275,34.7325,10.11125,8.88,0,0,7.2087,3,3.375,0.25,0.595,3.76090375,-4.6028275,0.4625,186.018885,1.26977,3.25,2,3.0955525,0.09912125,0.03094625,0,0.00495125,0.00185125,0.0072625,0.00090375
Transition Game 1.2,Service,0 days 00:07:12,751.6728157,104.2807214,26.96,5.797142857,6.212857143,0.5,0,6.688892857,3.428571429,3.142857143,0.142857143,0.154285714,3.63112,-4.017182857,0.549998571,237.8688786,2.651881429,2.857142857,2.285714286,3.714912857,0.062337143,0.013404286,0,0.005285714,0.002052857,0.007927143,0.00033
Transition Game 1.2,Unknown,0 days 00:07:12,704.39905,97.72236,0,0,0,0,0,5.12073,1,2,0,0,2.8234,-4.59204,0.53162,229.91973,3.74763,5,3,3.40237,0,0,0,0.00694,0.00188,0.00231,0
